,T1,Mean_T1,Median_T1,Max_T1,Min_T1,B0,Mean_B0,Median_B0,Max_B0,Min_B0,B1000,Mean_B1000,Median_B1000,Max_B1000,Min_B1000,B1500,Mean_B1500,Median_B1500,Max_B1500,Min_B1500,B2000,Mean_B2000,Median_B2000,Max_B2000,Min_B2000,ADC,Mean_ADC,Median_ADC,Max_ADC,Min_ADC,Position_X,Position_Y,Position_Z,class
0,653.0,864.664,863.0,1150.0,517.0,63.0,81.872,61.0,454.0,7.0,28.0,27.504,27.0,43.0,19.0,19.0,17.48,18.0,25.0,9.0,14.0,11.92,12.0,21.0,4.0,787.0,905.912,873.0,1773.0,197.0,15,888,264,healthy
1,622.0,759.96,778.0,1024.0,442.0,59.0,97.4,95.0,227.0,34.0,39.0,32.952,35.0,42.0,22.0,28.0,21.072,18.0,30.0,14.0,20.0,13.728,13.0,22.0,5.0,758.0,907.4,758.0,1755.0,427.0,15,892,222,healthy
2,1047.0,781.8,778.0,1047.0,493.0,67.0,102.248,88.0,462.0,0.0,31.0,33.552,33.0,43.0,27.0,19.0,18.952,19.0,24.0,12.0,12.0,11.64,11.0,19.0,5.0,862.0,890.144,868.0,1807.0,45.0,16,296,264,healthy
3,728.0,612.944,607.0,819.0,395.0,1853.0,1140.992,1326.0,2056.0,61.0,33.0,42.336,36.0,95.0,16.0,10.0,23.44,23.0,63.0,3.0,1.0,11.544,7.0,39.0,0.0,1957.0,2130.6,1946.0,4004.0,558.0,17,287,248,healthy
4,953.0,780.696,800.0,1023.0,483.0,99.0,193.384,91.0,1271.0,0.0,38.0,36.776,37.0,46.0,27.0,21.0,21.776,23.0,28.0,7.0,15.0,16.12,18.0,24.0,1.0,326.0,889.504,822.0,2377.0,167.0,17,303,249,healthy
5,1049.0,823.936,832.0,1070.0,581.0,102.0,96.072,84.0,646.0,0.0,41.0,34.896,34.0,47.0,19.0,21.0,22.544,23.0,27.0,13.0,13.0,16.328,16.0,24.0,6.0,602.0,1162.248,1175.0,2001.0,372.0,17,305,246,healthy
6,700.0,828.72,804.0,1131.0,554.0,137.0,116.48,110.0,373.0,15.0,25.0,29.24,29.0,40.0,19.0,10.0,16.032,14.0,30.0,7.0,4.0,9.36,7.0,23.0,1.0,1457.0,1152.728,1304.0,1978.0,61.0,17,878,277,healthy
7,824.0,783.272,794.0,1204.0,460.0,544.0,427.352,233.0,1493.0,0.0,26.0,39.992,28.0,108.0,16.0,9.0,16.024,15.0,31.0,5.0,1.0,6.704,6.0,16.0,0.0,1965.0,1647.272,1682.0,2513.0,607.0,17,880,220,healthy
8,753.0,784.528,794.0,1172.0,397.0,37.0,108.544,105.0,580.0,0.0,21.0,26.752,26.0,46.0,14.0,12.0,16.256,14.0,31.0,6.0,7.0,10.352,8.0,23.0,1.0,1005.0,1050.08,1184.0,1915.0,42.0,17,882,214,healthy
9,879.0,873.048,893.0,1259.0,572.0,252.0,570.864,252.0,1836.0,0.0,49.0,56.52,47.0,135.0,16.0,29.0,23.376,25.0,34.0,7.0,18.0,12.256,12.0,21.0,3.0,967.0,1393.136,1275.0,2646.0,510.0,17,884,233,healthy
10,882.0,845.016,879.0,1127.0,465.0,0.0,44.32,38.0,176.0,0.0,20.0,29.168,28.0,47.0,17.0,13.0,20.208,19.0,34.0,8.0,11.0,14.344,14.0,25.0,4.0,799.0,778.784,764.0,1434.0,229.0,17,886,218,healthy
11,868.0,831.76,841.0,1121.0,581.0,321.0,660.272,237.0,2074.0,0.0,35.0,33.688,34.0,42.0,22.0,15.0,15.104,16.0,30.0,1.0,12.0,10.472,12.0,24.0,0.0,248.0,943.936,560.0,3453.0,48.0,18,298,259,healthy
12,1510.0,1475.72,1478.0,2159.0,1028.0,111.0,114.304,100.0,327.0,36.0,33.0,29.464,31.0,48.0,7.0,17.0,18.232,17.0,43.0,2.0,9.0,12.568,9.0,39.0,0.0,1244.0,1237.824,1244.0,2417.0,129.0,18,777,100,healthy
